ID,region,type.of.place.of.residence,wealth.index.combined,sex.of.household.member,age.of.household.members,highest.educational.level.attained,current.marital.status,group
1176,eastern cape,rural,poorest,female,62,"no education, preschool",married,1
1177,eastern cape,rural,poorest,male,55,primary,married,4
1178,eastern cape,rural,poorest,female,44,primary,married,1
1179,eastern cape,rural,poorest,male,18,secondary,never married,4
1180,eastern cape,rural,poorest,male,15,primary,never married,1
1181,eastern cape,rural,poorer,female,38,primary,never married,1
1182,eastern cape,rural,poorer,female,22,secondary,never married,1
1183,eastern cape,rural,poorest,female,61,"no education, preschool",divorced/separated,4
1184,eastern cape,rural,poorest,male,24,secondary,never married,2
1185,eastern cape,rural,poorest,female,16,secondary,never married,1
1186,eastern cape,rural,middle,female,62,secondary,divorced/separated,5
1187,eastern cape,rural,middle,male,23,secondary,never married,2
1188,kwazulu-natal,urban,richest,female,65,secondary,never married,1
1189,kwazulu-natal,urban,poorer,female,27,secondary,never married,1
1190,kwazulu-natal,urban,richer,female,81,secondary,never married,3
1191,kwazulu-natal,urban,richer,male,58,secondary,never married,2
1192,kwazulu-natal,urban,richer,female,40,secondary,never married,3
1193,kwazulu-natal,urban,richer,female,68,primary,widowed,1
1194,western cape,urban,richest,male,55,secondary,married,2
1195,western cape,urban,richest,female,37,secondary,married,1
1196,western cape,urban,richer,female,51,secondary,married,1
1197,western cape,urban,richer,female,52,secondary,never married,3
1198,western cape,urban,richer,female,22,secondary,never married,2
1199,kwazulu-natal,urban,richer,male,53,secondary,never married,2
1200,kwazulu-natal,urban,richer,male,59,secondary,never married,2
1201,kwazulu-natal,urban,richer,female,31,higher,never married,4
1202,kwazulu-natal,urban,richer,male,25,higher,never married,2
1203,kwazulu-natal,urban,richer,male,16,primary,never married,2
1204,kwazulu-natal,urban,middle,male,67,primary,married,2
1205,kwazulu-natal,urban,middle,female,69,primary,married,3
1206,kwazulu-natal,urban,middle,female,41,secondary,never married,3
1207,kwazulu-natal,urban,middle,female,29,"no education, preschool",never married,1
1208,kwazulu-natal,urban,middle,female,26,secondary,never married,1
1209,kwazulu-natal,urban,middle,male,24,secondary,never married,2
1210,kwazulu-natal,urban,richer,female,64,primary,never married,4
1211,kwazulu-natal,urban,richer,female,28,secondary,never married,2
1212,kwazulu-natal,urban,richer,female,15,secondary,never married,1
1213,kwazulu-natal,urban,richer,male,48,secondary,married,3
1214,kwazulu-natal,urban,richer,female,49,secondary,married,3
1215,kwazulu-natal,urban,richer,male,24,secondary,never married,2
1216,kwazulu-natal,urban,richer,female,17,secondary,never married,1
1217,kwazulu-natal,urban,richer,female,61,primary,never married,5
1218,kwazulu-natal,urban,richer,male,46,primary,never married,1
1219,kwazulu-natal,urban,richer,female,30,secondary,never married,3
1220,kwazulu-natal,urban,poorer,male,29,secondary,never married,1
1221,kwazulu-natal,urban,middle,female,72,"no education, preschool",divorced/separated,4
1222,kwazulu-natal,urban,middle,female,45,primary,never married,4
1223,kwazulu-natal,urban,richer,male,38,secondary,never married,2
1224,free state,urban,richer,male,47,secondary,married,3
1225,free state,urban,richer,female,53,secondary,married,1
1226,free state,urban,richer,male,26,secondary,never married,2
1227,free state,urban,richer,male,24,secondary,never married,2
1228,free state,urban,richer,male,20,secondary,never married,1
1229,free state,urban,richer,female,19,secondary,never married,2
1230,free state,urban,middle,male,60,secondary,married,4
1231,free state,urban,middle,female,36,secondary,married,3
1232,free state,urban,middle,female,15,primary,never married,1
1233,free state,urban,richest,female,46,secondary,married,3
1234,free state,urban,richest,female,24,higher,never married,1
1235,free state,urban,richer,male,62,"no education, preschool",married,4
1236,free state,urban,richer,female,58,"no education, preschool",married,3
1237,free state,urban,richer,male,22,secondary,never married,1
1238,free state,urban,richer,female,16,primary,never married,1
1239,free state,urban,richer,male,15,primary,never married,1
1240,free state,urban,richer,male,55,secondary,widowed,4
1241,free state,urban,richer,female,17,secondary,never married,1
1242,free state,urban,richer,female,15,secondary,never married,1
1243,free state,urban,poorer,male,53,secondary,married,2
1244,free state,urban,poorer,female,44,secondary,married,4
1245,free state,urban,poorer,male,23,secondary,never married,2
1246,free state,urban,poorer,male,20,primary,never married,2
1247,free state,urban,middle,female,37,secondary,married,1
1248,free state,urban,middle,male,36,secondary,married,5
1249,free state,urban,middle,female,36,secondary,married,3
1250,free state,urban,middle,male,15,primary,never married,2
1251,free state,urban,richer,female,56,secondary,divorced/separated,4
1252,free state,urban,richer,female,15,secondary,never married,3
1253,free state,urban,richer,female,69,primary,widowed,3
1254,free state,urban,richer,female,23,higher,never married,1
1255,free state,urban,richest,female,55,secondary,widowed,4
1256,free state,urban,richest,male,33,secondary,never married,3
1257,free state,urban,richest,female,43,secondary,married,4
1258,free state,urban,richest,male,59,secondary,widowed,1
1259,free state,urban,middle,male,50,secondary,married,2
1260,free state,urban,middle,female,45,secondary,married,3
1261,free state,urban,middle,male,25,secondary,married,2
1262,free state,urban,middle,female,22,secondary,married,1
1263,free state,urban,middle,male,15,secondary,never married,2
1264,free state,urban,middle,male,72,primary,married,4
1265,free state,urban,richer,male,64,secondary,married,1
1266,free state,urban,richer,female,56,secondary,married,3
1267,free state,urban,richer,male,51,secondary,married,2
1268,free state,urban,richer,female,36,secondary,married,4
1269,free state,urban,middle,female,30,secondary,never married,1
1270,kwazulu-natal,urban,richer,female,43,secondary,divorced/separated,1
1271,kwazulu-natal,urban,richer,female,20,secondary,never married,2
1272,kwazulu-natal,urban,richer,female,59,secondary,never married,4
1273,kwazulu-natal,urban,richer,female,29,higher,never married,3
1274,kwazulu-natal,urban,richer,female,26,secondary,never married,1
1275,kwazulu-natal,urban,richest,female,32,secondary,never married,3
1276,kwazulu-natal,urban,richest,male,31,secondary,never married,3
1277,kwazulu-natal,urban,richest,male,26,higher,never married,2
1278,kwazulu-natal,urban,richest,male,38,secondary,never married,2
1279,kwazulu-natal,urban,middle,male,28,higher,never married,2
1280,kwazulu-natal,urban,richer,female,55,secondary,never married,3
1281,kwazulu-natal,urban,richest,male,47,primary,married,4
1282,free state,urban,middle,female,36,secondary,married,1
1283,free state,urban,middle,male,33,secondary,married,2
1284,free state,urban,middle,female,22,secondary,never married,2
1285,free state,urban,richer,female,17,secondary,never married,2
1286,free state,urban,middle,male,34,secondary,married,2
1287,free state,urban,middle,female,33,secondary,married,1
1288,free state,urban,middle,female,43,primary,widowed,4
1289,free state,urban,middle,female,19,secondary,never married,1
1290,free state,urban,middle,female,52,secondary,never married,1
1291,free state,urban,middle,female,59,primary,widowed,4
1292,free state,urban,middle,female,49,primary,divorced/separated,5
1293,free state,urban,middle,male,20,primary,never married,1
1294,free state,urban,richer,female,20,secondary,never married,1
1295,free state,urban,richer,male,30,"no education, preschool",never married,2
1296,free state,urban,richer,female,54,secondary,divorced/separated,1
1297,free state,urban,richer,female,28,secondary,never married,3
1298,free state,urban,richer,female,65,"no education, preschool",widowed,1
1299,free state,urban,richer,male,27,secondary,never married,2
1300,free state,urban,poorer,male,48,secondary,divorced/separated,4
1301,free state,urban,poorer,female,32,secondary,never married,1
1302,free state,urban,poorer,female,27,secondary,never married,1
1303,free state,urban,poorer,female,22,secondary,married,1
1304,free state,urban,richer,female,43,secondary,never married,4
1305,free state,urban,richer,male,15,primary,never married,1
1306,free state,urban,poorest,male,36,secondary,married,2
1307,free state,urban,poorest,female,34,secondary,married,3
1308,free state,urban,richer,female,36,secondary,divorced/separated,4
1309,free state,urban,middle,male,25,secondary,never married,4
1310,limpopo,rural,poorer,female,73,higher,divorced/separated,3
1311,limpopo,rural,poorer,female,66,secondary,divorced/separated,1
1312,limpopo,rural,poorer,male,33,secondary,never married,2
1313,limpopo,rural,poorer,male,25,secondary,never married,2
1314,limpopo,rural,poorest,male,61,primary,widowed,2
1315,limpopo,rural,poorest,female,26,secondary,never married,1
1316,gauteng,rural,richer,male,54,secondary,married,3
1317,gauteng,rural,richer,female,56,secondary,married,3
1318,gauteng,rural,richer,male,49,secondary,married,3
1319,gauteng,rural,richer,female,46,higher,married,5
1320,gauteng,rural,richer,female,23,higher,never married,1
1321,gauteng,rural,richer,male,56,secondary,married,2
1322,gauteng,rural,richer,female,49,higher,married,3
1323,gauteng,rural,richer,male,19,secondary,never married,1
1324,gauteng,rural,middle,female,29,higher,never married,1
1325,gauteng,rural,richer,female,60,secondary,widowed,5
1326,gauteng,rural,richer,female,37,secondary,never married,3
1327,gauteng,rural,richer,male,31,secondary,never married,2
1328,gauteng,rural,poorer,female,47,secondary,never married,5
1329,gauteng,rural,poorer,female,20,secondary,never married,1
1330,kwazulu-natal,rural,poorest,male,58,"no education, preschool",never married,2
1331,kwazulu-natal,rural,poorest,female,41,primary,married,3
1332,kwazulu-natal,rural,middle,female,46,primary,married,4
1333,kwazulu-natal,rural,middle,female,21,secondary,never married,1
1334,kwazulu-natal,rural,poorest,female,54,"no education, preschool",married,5
1335,kwazulu-natal,rural,poorest,male,15,primary,never married,2
1336,kwazulu-natal,rural,poorest,male,22,primary,never married,2
1337,kwazulu-natal,rural,poorest,female,60,primary,widowed,5
1338,kwazulu-natal,rural,poorest,female,18,secondary,never married,1
1339,kwazulu-natal,rural,poorer,female,56,"no education, preschool",widowed,3
1340,kwazulu-natal,rural,poorer,female,23,secondary,never married,1
1341,kwazulu-natal,rural,poorest,female,43,secondary,never married,1
1342,kwazulu-natal,rural,poorest,female,24,secondary,never married,1
1343,kwazulu-natal,rural,poorest,female,16,secondary,never married,1
1344,western cape,urban,richest,male,76,higher,married,5
1345,western cape,urban,richest,female,73,secondary,married,4
1346,western cape,urban,richest,female,64,secondary,married,1
1347,western cape,urban,richest,female,86,"no education, preschool",widowed,1
1348,western cape,urban,richest,female,47,secondary,widowed,5
1349,western cape,urban,richest,female,25,secondary,married,3
1350,western cape,urban,richest,male,76,higher,married,5
1351,western cape,urban,richest,female,74,higher,married,5
1352,gauteng,urban,middle,female,34,secondary,widowed,1
1353,gauteng,urban,middle,male,40,higher,married,3
1354,gauteng,urban,poorer,female,59,secondary,divorced/separated,3
1355,gauteng,urban,poorer,male,25,secondary,never married,2
1356,gauteng,urban,middle,female,34,secondary,married,3
1357,gauteng,urban,middle,female,25,secondary,never married,1
1358,gauteng,urban,poorest,female,38,primary,never married,1
1359,gauteng,urban,poorest,female,24,secondary,never married,1
1360,gauteng,urban,poorer,female,48,secondary,never married,1
1361,gauteng,urban,poorer,male,20,secondary,never married,2
1362,gauteng,urban,poorer,female,35,secondary,married,1
1363,gauteng,urban,poorer,female,55,"no education, preschool",never married,4
1364,gauteng,urban,poorer,female,31,secondary,never married,4
1365,gauteng,urban,poorer,female,22,secondary,never married,2
1366,kwazulu-natal,urban,richer,female,50,primary,married,3
1367,kwazulu-natal,urban,richer,female,30,secondary,never married,1
1368,kwazulu-natal,urban,richer,male,27,secondary,never married,1
1369,kwazulu-natal,urban,richer,male,24,secondary,never married,1
1370,kwazulu-natal,urban,richest,male,71,secondary,divorced/separated,2
1371,kwazulu-natal,urban,richest,female,40,secondary,married,1
1372,kwazulu-natal,urban,richest,female,19,secondary,never married,1
1373,kwazulu-natal,urban,richest,female,41,secondary,never married,3
1374,kwazulu-natal,urban,richer,female,20,secondary,never married,1
1375,kwazulu-natal,urban,richer,female,18,secondary,never married,1
1376,eastern cape,rural,poorest,female,77,primary,widowed,4
1377,eastern cape,rural,poorest,male,24,primary,never married,2
1378,eastern cape,rural,poorest,male,21,secondary,never married,2
1379,eastern cape,rural,poorest,female,57,primary,widowed,4
1380,eastern cape,rural,poorest,female,21,secondary,never married,1
1381,eastern cape,rural,poorest,female,58,primary,never married,4
1382,eastern cape,rural,poorest,male,74,primary,married,1
1383,eastern cape,rural,poorest,female,67,primary,married,4
1384,eastern cape,rural,poorest,male,18,secondary,never married,2
1385,eastern cape,rural,middle,male,57,primary,married,2
1386,eastern cape,rural,middle,female,54,primary,married,4
1387,eastern cape,rural,middle,male,25,secondary,never married,2
1388,eastern cape,rural,poorest,female,40,secondary,married,1
1389,eastern cape,rural,poorest,female,61,"no education, preschool",never married,1
1390,eastern cape,rural,poorest,female,16,primary,never married,1
1391,eastern cape,rural,poorest,male,32,secondary,never married,4
1392,eastern cape,rural,poorest,female,74,primary,widowed,4
1393,free state,urban,richest,male,71,secondary,widowed,3
1394,free state,urban,richest,female,49,secondary,never married,1
1395,free state,urban,richest,male,20,secondary,never married,2
1396,gauteng,urban,richest,female,35,higher,never married,1
1397,kwazulu-natal,urban,richest,female,46,secondary,married,5
1398,kwazulu-natal,urban,richest,female,27,higher,married,1
1399,kwazulu-natal,urban,richest,male,26,secondary,married,2
1400,kwazulu-natal,urban,richest,male,21,secondary,never married,2
1401,kwazulu-natal,urban,richest,female,44,secondary,married,5
1402,northern cape,urban,middle,female,72,"no education, preschool",widowed,3
1403,northern cape,urban,middle,male,52,"no education, preschool",never married,4
1404,northern cape,urban,middle,female,33,secondary,married,1
1405,northern cape,urban,middle,male,61,primary,married,2
1406,northern cape,urban,middle,female,56,primary,married,4
1407,northern cape,urban,poorer,male,39,primary,never married,2
1408,northern cape,urban,middle,male,59,primary,married,2
1409,northern cape,urban,middle,female,59,secondary,married,3
1410,northern cape,urban,middle,male,34,secondary,never married,3
1411,northern cape,urban,middle,female,53,primary,widowed,4
1412,northern cape,urban,richer,female,63,"no education, preschool",widowed,5
1413,northern cape,urban,richer,female,40,primary,married,3
1414,eastern cape,urban,poorest,female,49,secondary,married,4
1415,eastern cape,urban,poorest,female,26,secondary,never married,1
1416,eastern cape,urban,poorest,female,31,secondary,never married,1
1417,eastern cape,urban,poorer,male,37,secondary,married,2
1418,eastern cape,urban,poorer,female,36,secondary,married,4
1419,eastern cape,urban,poorest,male,20,secondary,never married,2
1420,eastern cape,urban,poorest,male,25,primary,never married,2
1421,eastern cape,urban,poorest,female,38,secondary,married,3
1422,eastern cape,urban,poorest,male,34,secondary,married,3
1423,north west,urban,poorest,female,55,secondary,never married,3
1424,north west,urban,poorest,male,35,secondary,never married,2
1425,north west,urban,poorest,male,15,primary,never married,1
1426,north west,urban,poorest,male,32,secondary,never married,2
1427,north west,urban,poorest,male,42,secondary,divorced/separated,2
1428,north west,urban,poorest,male,52,secondary,married,2
1429,north west,urban,poorer,male,21,secondary,never married,2
1430,north west,urban,poorer,male,23,secondary,never married,2
1431,free state,urban,middle,female,26,secondary,never married,2
1432,free state,urban,middle,male,20,secondary,married,2
1433,free state,urban,middle,female,17,secondary,married,1
1434,free state,urban,middle,male,28,secondary,married,1
1435,free state,urban,middle,female,34,secondary,married,1
1436,free state,urban,middle,female,16,secondary,never married,1
1437,free state,urban,richer,female,51,secondary,widowed,3
1438,free state,urban,richer,male,27,secondary,never married,2
1439,free state,urban,richer,male,19,secondary,never married,2
1440,free state,urban,poorest,female,46,secondary,married,3
1441,free state,urban,poorest,male,26,secondary,never married,2
1442,free state,urban,poorest,male,22,secondary,never married,2
1443,free state,urban,poorest,male,21,secondary,never married,1
1444,free state,urban,poorest,male,21,secondary,never married,2
1445,free state,urban,richest,male,31,higher,never married,2
1446,free state,urban,poorer,female,31,secondary,married,1
1447,kwazulu-natal,rural,poorest,male,69,primary,married,5
1448,kwazulu-natal,rural,poorest,female,62,"no education, preschool",married,3
1449,kwazulu-natal,rural,poorest,male,30,primary,never married,4
1450,kwazulu-natal,rural,poorest,female,25,secondary,never married,3
1451,kwazulu-natal,rural,poorest,female,15,secondary,never married,1
1452,kwazulu-natal,rural,poorer,female,60,"no education, preschool",married,3
1453,kwazulu-natal,rural,poorer,female,29,secondary,never married,3
1454,kwazulu-natal,rural,poorer,female,61,"no education, preschool",never married,4
1455,kwazulu-natal,rural,middle,female,62,secondary,widowed,3
1456,kwazulu-natal,rural,middle,female,33,secondary,never married,3
1457,kwazulu-natal,rural,poorest,female,69,"no education, preschool",widowed,1
1458,kwazulu-natal,rural,poorest,female,69,"no education, preschool",widowed,3
1459,kwazulu-natal,rural,poorest,male,32,primary,never married,3
1460,kwazulu-natal,rural,poorest,female,28,secondary,never married,2
1461,kwazulu-natal,rural,poorest,female,16,secondary,never married,1
1462,kwazulu-natal,rural,poorest,female,27,primary,never married,3
1463,kwazulu-natal,rural,poorest,female,59,"no education, preschool",widowed,4
1464,kwazulu-natal,rural,poorest,female,25,primary,never married,1
1465,kwazulu-natal,rural,poorest,male,31,secondary,never married,2
1466,gauteng,urban,richest,male,81,higher,married,3
1467,gauteng,urban,richest,female,79,higher,married,1
1468,gauteng,urban,richest,male,60,higher,married,3
1469,gauteng,urban,richest,female,60,higher,married,1
1470,north west,rural,middle,female,24,secondary,never married,1
1471,north west,rural,poorest,male,66,primary,married,4
1472,north west,rural,poorest,female,66,primary,married,1
1473,north west,rural,poorer,male,91,"no education, preschool",widowed,1
1474,north west,rural,richer,male,69,higher,widowed,3
1475,western cape,urban,richest,female,43,higher,married,3
1476,western cape,urban,richest,female,15,secondary,never married,1
1477,western cape,urban,richest,female,18,secondary,never married,1
1478,gauteng,urban,poorer,male,41,secondary,never married,2
1479,gauteng,urban,middle,female,24,secondary,married,3
1480,gauteng,urban,richer,male,22,secondary,never married,2
1481,gauteng,urban,richer,male,18,secondary,never married,2
1482,gauteng,urban,poorer,male,31,secondary,never married,2
1483,gauteng,urban,richer,male,51,primary,never married,2
1484,gauteng,urban,richer,female,30,secondary,never married,1
1485,gauteng,urban,richer,male,29,secondary,never married,2
1486,gauteng,urban,poorer,male,32,secondary,married,2
1487,gauteng,urban,poorer,female,34,primary,married,1
1488,mpumalanga,urban,poorer,female,27,secondary,never married,3
1489,mpumalanga,urban,middle,male,28,higher,never married,2
1490,mpumalanga,urban,middle,female,44,primary,never married,5
1491,mpumalanga,urban,middle,female,24,secondary,never married,2
1492,mpumalanga,urban,middle,male,26,secondary,never married,1
1493,mpumalanga,urban,poorer,male,58,secondary,widowed,4
1494,mpumalanga,urban,poorer,male,51,secondary,married,2
1495,mpumalanga,urban,middle,female,34,secondary,never married,1
1496,mpumalanga,urban,poorer,male,53,"no education, preschool",married,2
1497,mpumalanga,urban,middle,female,27,secondary,married,1
1498,mpumalanga,urban,poorer,male,35,don't know,married,2
1499,mpumalanga,urban,poorer,female,22,secondary,married,1
1500,mpumalanga,urban,poorer,male,44,primary,married,2
1501,mpumalanga,urban,richest,female,58,secondary,divorced/separated,5
1502,mpumalanga,urban,richer,male,33,higher,never married,2
1503,mpumalanga,urban,poorer,male,42,secondary,married,3
1504,eastern cape,urban,middle,female,59,primary,widowed,2
1505,eastern cape,urban,middle,male,58,primary,widowed,2
1506,eastern cape,urban,middle,male,29,secondary,never married,2
1507,eastern cape,urban,richer,male,51,secondary,married,3
1508,eastern cape,urban,richer,female,53,primary,married,3
1509,eastern cape,urban,poorer,female,28,secondary,never married,3
1510,eastern cape,urban,middle,female,85,"no education, preschool",widowed,1
1511,eastern cape,urban,richer,female,48,primary,widowed,3
1512,eastern cape,urban,richer,female,17,secondary,never married,1
1513,mpumalanga,urban,middle,male,36,primary,married,2
1514,mpumalanga,urban,richer,female,42,"no education, preschool",married,4
1515,mpumalanga,urban,richer,male,24,secondary,never married,2
1516,mpumalanga,urban,middle,male,50,secondary,never married,3
1517,mpumalanga,urban,middle,female,82,"no education, preschool",widowed,1
1518,mpumalanga,urban,richer,female,59,primary,widowed,3
1519,mpumalanga,urban,middle,female,33,primary,married,4
1520,mpumalanga,urban,middle,female,29,secondary,never married,3
1521,mpumalanga,urban,middle,female,21,primary,never married,1
1522,mpumalanga,urban,middle,female,42,primary,married,1
1523,mpumalanga,urban,middle,female,15,secondary,never married,1
1524,mpumalanga,urban,poorer,male,29,secondary,never married,2
1525,mpumalanga,urban,middle,male,48,secondary,married,3
1526,mpumalanga,urban,middle,male,19,secondary,never married,1
1527,mpumalanga,urban,middle,female,24,primary,never married,1
1528,eastern cape,urban,richer,male,62,secondary,married,5
1529,eastern cape,urban,richer,female,22,secondary,never married,1
1530,eastern cape,urban,richer,female,60,"no education, preschool",married,4
1531,eastern cape,urban,richer,female,27,secondary,never married,1
1532,eastern cape,urban,richer,female,23,secondary,never married,1
1533,eastern cape,urban,richer,female,67,primary,divorced/separated,1
1534,eastern cape,urban,richer,female,40,secondary,never married,1
1535,eastern cape,urban,richer,female,37,secondary,never married,3
1536,eastern cape,urban,richer,female,64,primary,widowed,4
1537,eastern cape,urban,middle,female,56,primary,married,4
1538,eastern cape,urban,richer,female,34,secondary,never married,2
1539,eastern cape,urban,richer,male,16,secondary,never married,2
1540,eastern cape,urban,richer,male,15,secondary,never married,2
1541,western cape,urban,richer,female,51,higher,married,1
1542,western cape,urban,middle,male,38,secondary,married,3
1543,western cape,urban,middle,female,38,secondary,married,4
1544,western cape,urban,richest,male,57,primary,married,1
1545,western cape,urban,richest,female,52,primary,married,3
1546,western cape,urban,richest,female,20,secondary,never married,3
1547,western cape,urban,richest,male,51,primary,never married,1
1548,western cape,urban,middle,male,47,"no education, preschool",married,2
1549,western cape,urban,richest,female,31,secondary,married,1
1550,eastern cape,rural,poorest,female,67,primary,widowed,1
1551,eastern cape,rural,poorest,female,83,primary,widowed,4
1552,eastern cape,rural,poorest,female,16,primary,never married,1
1553,eastern cape,rural,poorest,female,30,primary,married,3
1554,eastern cape,rural,poorest,female,65,primary,widowed,1
1555,eastern cape,rural,poorest,male,22,secondary,never married,2
1556,eastern cape,rural,poorest,female,20,secondary,never married,1
1557,eastern cape,rural,poorest,male,71,secondary,married,1
1558,eastern cape,rural,poorest,female,55,primary,married,5
1559,eastern cape,rural,poorest,female,29,secondary,never married,1
1560,eastern cape,rural,poorest,female,28,secondary,never married,1
1561,eastern cape,rural,poorest,female,15,secondary,never married,1
1562,eastern cape,rural,poorest,female,28,secondary,married,1
1563,eastern cape,rural,poorest,female,55,primary,widowed,4
1564,eastern cape,rural,poorest,male,29,secondary,never married,2
1565,eastern cape,rural,poorest,male,26,secondary,never married,2
1566,eastern cape,rural,poorest,female,41,secondary,divorced/separated,4
1567,eastern cape,rural,poorest,male,20,secondary,never married,2
1568,eastern cape,rural,poorest,female,17,secondary,never married,1
1569,eastern cape,rural,poorest,female,56,"no education, preschool",never married,4
1570,free state,rural,poorer,female,68,primary,widowed,4
1571,free state,rural,poorer,male,47,secondary,never married,4
1572,free state,rural,poorer,male,33,secondary,married,2
1573,free state,rural,poorer,female,34,primary,married,1
1574,free state,urban,middle,male,54,primary,married,2
1575,free state,urban,middle,female,45,secondary,married,3
1576,free state,urban,middle,female,21,secondary,never married,1
1577,free state,urban,middle,male,17,primary,never married,1
1578,free state,urban,middle,male,15,primary,never married,2
1579,free state,urban,poorer,male,30,secondary,married,2
1580,free state,urban,poorer,female,27,secondary,married,1
1581,free state,urban,middle,female,43,higher,never married,4
1582,free state,urban,middle,female,16,secondary,never married,1
1583,free state,urban,middle,male,26,secondary,never married,2
1584,free state,urban,middle,male,25,secondary,never married,2
1585,free state,urban,middle,female,21,secondary,never married,1
1586,free state,urban,middle,male,16,secondary,never married,2
1587,free state,urban,richer,female,44,secondary,married,3
1588,free state,urban,richer,female,28,secondary,never married,1
1589,free state,urban,richer,female,22,secondary,never married,3
1590,free state,urban,richer,female,18,secondary,never married,2
1591,free state,urban,richer,male,17,secondary,never married,2
1592,free state,urban,richer,female,79,primary,widowed,3
1593,free state,urban,richer,female,55,primary,never married,2
1594,free state,urban,richer,male,27,secondary,never married,2
1595,free state,urban,richer,female,23,secondary,never married,3
1596,free state,urban,richer,female,65,primary,widowed,4
1597,free state,urban,middle,male,26,secondary,married,2
1598,northern cape,rural,poorer,female,56,primary,divorced/separated,4
1599,northern cape,rural,poorer,female,72,primary,widowed,4
1600,northern cape,rural,poorest,female,44,secondary,never married,1
1601,northern cape,rural,poorer,male,70,"no education, preschool",married,4
1602,northern cape,rural,poorer,female,67,primary,married,1
1603,northern cape,rural,poorer,female,41,secondary,married,4
1604,northern cape,rural,poorer,female,38,secondary,never married,4
1605,northern cape,rural,poorer,female,33,secondary,never married,4
1606,northern cape,rural,poorer,male,20,secondary,never married,4
1607,northern cape,rural,poorer,female,16,secondary,never married,2
1608,northern cape,rural,poorest,female,49,secondary,never married,4
1609,northern cape,rural,poorest,male,22,secondary,never married,2
1610,kwazulu-natal,urban,richer,female,57,primary,never married,4
1611,kwazulu-natal,urban,richer,female,18,secondary,never married,1
1612,kwazulu-natal,urban,richer,male,59,primary,married,4
1613,kwazulu-natal,urban,richer,female,54,primary,married,3
1614,kwazulu-natal,urban,richer,female,18,secondary,never married,1
1615,kwazulu-natal,urban,richer,male,18,secondary,never married,4
1616,kwazulu-natal,urban,middle,female,65,"no education, preschool",never married,4
1617,kwazulu-natal,urban,middle,male,58,secondary,widowed,4
1618,kwazulu-natal,urban,middle,male,15,primary,never married,2
1619,kwazulu-natal,urban,middle,male,29,secondary,never married,2
1620,kwazulu-natal,urban,poorer,male,52,primary,never married,3
1621,northern cape,urban,richer,female,79,"no education, preschool",widowed,1
1622,northern cape,urban,richer,female,22,secondary,never married,1
1623,northern cape,urban,richer,female,36,primary,never married,1
1624,northern cape,urban,richer,female,49,secondary,never married,3
1625,northern cape,urban,poorest,female,35,secondary,never married,3
1626,northern cape,urban,poorest,female,58,primary,divorced/separated,1
1627,northern cape,urban,poorest,female,17,secondary,never married,1
1628,northern cape,urban,middle,male,33,secondary,never married,3
1629,northern cape,urban,middle,female,29,secondary,never married,3
1630,northern cape,urban,middle,female,16,secondary,never married,1
1631,free state,urban,middle,female,50,"no education, preschool",married,4
1632,free state,urban,middle,female,27,secondary,never married,4
1633,free state,urban,middle,male,20,primary,never married,4
1634,free state,urban,poorer,male,40,primary,never married,2
1635,free state,urban,poorer,female,48,primary,never married,4
1636,free state,urban,poorer,female,16,primary,never married,1
1637,free state,urban,richer,female,33,secondary,married,3
1638,free state,urban,richer,male,38,secondary,married,2
1639,free state,urban,richer,male,15,primary,never married,1
1640,free state,urban,middle,male,66,"no education, preschool",married,2
1641,free state,urban,middle,female,47,secondary,married,4
1642,gauteng,urban,richer,female,72,primary,never married,1
1643,gauteng,urban,richest,female,32,secondary,never married,3
1644,gauteng,urban,poorer,female,24,secondary,married,1
1645,gauteng,urban,richer,female,26,higher,never married,2
1646,gauteng,urban,richest,female,55,secondary,never married,1
1647,gauteng,urban,richest,female,54,secondary,never married,1
1648,gauteng,urban,richest,female,18,secondary,never married,1
1649,gauteng,urban,richest,male,19,secondary,never married,2
1650,gauteng,urban,richest,male,17,secondary,never married,2
1651,gauteng,urban,richest,male,17,secondary,never married,2
1652,eastern cape,rural,poorest,female,49,primary,never married,4
1653,eastern cape,rural,poorer,female,53,primary,married,5
1654,eastern cape,rural,poorer,male,28,don't know,married,2
1655,eastern cape,rural,poorer,male,76,primary,married,4
1656,eastern cape,rural,poorer,female,63,primary,married,3
1657,eastern cape,rural,poorer,male,36,secondary,never married,2
1658,eastern cape,rural,poorer,male,32,secondary,never married,2
1659,eastern cape,rural,poorer,female,63,secondary,married,1
1660,eastern cape,rural,poorer,male,33,secondary,never married,2
1661,eastern cape,rural,poorer,male,31,secondary,never married,2
1662,eastern cape,rural,poorer,female,26,secondary,never married,2
1663,free state,urban,richer,female,46,secondary,divorced/separated,1
1664,free state,urban,richer,female,55,secondary,never married,3
1665,free state,urban,richer,female,28,secondary,never married,1
1666,free state,urban,richer,female,23,secondary,never married,3
1667,free state,urban,middle,female,65,primary,married,2
1668,free state,urban,middle,female,24,secondary,never married,1
1669,free state,urban,poorest,male,48,primary,divorced/separated,2
1670,free state,urban,richer,female,20,secondary,never married,1
1671,free state,urban,poorest,female,57,secondary,widowed,1
1672,free state,urban,poorest,female,17,secondary,never married,1
1673,gauteng,urban,richer,male,19,secondary,never married,3
1674,gauteng,urban,poorer,male,29,secondary,never married,2
1675,gauteng,urban,middle,male,36,secondary,never married,2
1676,gauteng,urban,richer,female,25,secondary,married,3
